target,file,file_name,rows,archives,instruments,bjd_min,bjd_max,rv_min,rv_max,has_activity,relative_file
UID_0007513_RVC_004.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0007513_RVC_004.tbl_RV.csv,UID_0007513_RVC_004.tbl_RV.csv,248,NASA_RADIAL,UID_0007513_RVC_004,2447046.922,2452597.74,-176.86,152.96,False,data/UID_0007513_RVC_004.tbl_RV.csv
HD 15337,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_15337_RV.csv,HD_15337_RV.csv,248,DACE_PUBLIC,DACE,2447813.801,2458809.75354666,-4570.0,-3801.29639665935,False,data/HD_15337_RV.csv
GJ 96,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_96_RV.csv,GJ_96_RV.csv,248,DACE_PUBLIC,DACE,2451581.80346,2458796.98162,-37929.6,12.72,False,data/GJ_96_RV.csv
K2-32,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/K2-32_RV.csv,K2-32_RV.csv,247,DACE_PUBLIC,DACE,2457185.6076883,2458363.56927127,-14238.5216819363,-2261.8794090067904,False,data/K2-32_RV.csv
HD 27442,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_27442_RV.csv,HD_27442_RV.csv,243,DACE_PUBLIC,DACE,2450831.08155,2455086.92987111,-47.5,29158.5381483834,False,data/HD_27442_RV.csv
HD 66428,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_66428_RV.csv,HD_66428_RV.csv,242,DACE_PUBLIC,DACE,2451883.04448,2458820.01945,-89.3,44104.956757243104,False,data/HD_66428_RV.csv
HD 117618,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_117618_RV.csv,HD_117618_RV.csv,241,DACE_PUBLIC,DACE,2448375.738,2458696.54008074,-17205.8815956669,22867.2209987486,False,data/HD_117618_RV.csv
HD 219077,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_219077_RV.csv,HD_219077_RV.csv,241,DACE_PUBLIC,DACE,2446289.858,2460217.71622402,-31320.0,-30617.1982136802,False,data/HD_219077_RV.csv
HD 20781,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_20781_RV.csv,HD_20781_RV.csv,240,DACE_PUBLIC,DACE,2447753.938,2458000.89600755,39690.0,40224.8203571517,False,data/HD_20781_RV.csv
HD 63765,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_63765_RV.csv,HD_63765_RV.csv,238,DACE_PUBLIC,DACE,2447194.747,2458587.61546807,22060.0,22770.0,False,data/HD_63765_RV.csv
HD 51608,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_51608_RV.csv,HD_51608_RV.csv,231,DACE_PUBLIC,DACE,2446396.81,2458001.92882197,39240.0,39848.409302521504,False,data/HD_51608_RV.csv
